Munic;Regiao;COD IBGE;COD IBGE2;Gini;Agua;Banheiro;Lixo;Energia;Densidade;Esperancadevida;Mortalidade_infantil;Prob_sobrevivencia;IDH;IDH_Renda;IDH_Longevidade;IDH_Educacao;Probab_sobrev60;TFT;Taxa_envelhecimento;Taxa_analfabetismo;frequencia_liquida_EM;Expectativa_anos_de_estudo;frequencia_liquida_Superior;perc_com_2_anos_de_de_atraso;Renda_per_capita;Renda_per_capita_nula;Perc_pobres;Perc_extremamente_pobres;Populacao;ISS
Niterói (RJ);Metropolitana           ;330330;3303302;0,59;98,88;96,6;98,63;99,98;18,37;76,23;12,91;93,43;0,837;0,887;0,854;0,773;84,14;1,41;12,17;2,59;61,2;9,68;36,4;16,7;2000,29;2001,07;3,34;1,88;487562;176.346.278
Nova Friburgo (RJ);Serrana                 ;330340;3303401;0,51;89,24;95,04;99,54;99,97;19,78;75,77;13,21;93,06;0,745;0,758;0,846;0,645;83,35;1,87;9,82;5,99;51,02;9,03;15,24;20,94;894,75;895,31;4,08;1,14;182082;16.572.704
Nova Iguaçu (RJ);Metropolitana           ;330350;3303500;0,48;96,48;91,29;95,39;99,9;39,45;74,08;15,35;92,93;0,713;0,691;0,818;0,641;81,73;1,8;6,96;5,61;50,11;9,25;9,35;21,64;591;592,1;10,56;6,45;796257;64.802.815
Paracambi (RJ);Metropolitana           ;330360;3303609;0,44;89,26;95,78;99,51;99,92;29,92;73,73;15,9;91,62;0,72;0,689;0,812;0,666;80,31;1,3;8,15;6,73;63,07;9,17;10,03;20,31;580,49;583,8;9,53;8,13;47124;5.663.889
Paraíba do Sul (RJ);Centro-Sul Fluminense   ;330370;3303708;0,5;97,22;97,96;97,79;99,82;27,23;73,7;15,9;91,6;0,702;0,697;0,812;0,61;80,26;1,64;9,42;7,33;46,32;9,03;13,28;23,08;613,56;614,15;10,9;4,41;41084;
Paraty (RJ);Costa Verde;330380;3303807;0,52;81,38;94,08;98,3;98,02;29,58;75,52;13,4;92,86;0,693;0,726;0,842;0,544;82,91;2,13;5,86;10,11;40,83;7,92;5,66;30,57;734,36;740,84;9,5;6,16;37533;
Paty do Alferes (RJ);Centro-Sul Fluminense   ;330385;3303856;0,56;89,55;93,56;97,11;99,39;28,34;73,34;16,4;91,34;0,671;0,683;0,806;0,549;79,73;1,74;9,03;15,41;43,81;8,5;7,66;25,99;562,52;567,45;16,13;7,82;26359;748.276
Petrópolis (RJ);Serrana                 ;330390;3303906;0,55;77,38;97,05;99,21;99,91;24,95;75,79;12,86;93,01;0,745;0,763;0,847;0,639;83,23;1,49;9,9;4,78;54,38;9,36;16,66;22,06;922,49;923,68;5,94;3,26;295917;46.509.795
Pinheiral (RJ);Médio Paraíba        ;330395;3303955;0,51;97,47;98,62;99,64;99,86;28,46;73,03;16,9;91,11;0,715;0,709;0,801;0,643;79,26;1,62;7,02;6,36;54,41;8,46;10,33;25,43;657,99;658,61;10,4;6,18;22719;1.486.731
Piraí (RJ);Médio Paraíba        ;330400;3304003;0,5;96,15;96,88;99,65;99,9;24,64;73,16;16,7;91,21;0,708;0,714;0,803;0,62;79,46;1,47;8,33;8,78;53,69;9,06;12,11;22,23;678,3;681,34;9,58;4,06;26314;9.287.543
Porciúncula (RJ);Noroeste Fluminense;330410;3304102;0,56;93,13;94,22;98,54;99,8;22,59;73,11;16,8;91,17;0,697;0,698;0,802;0,606;79,38;2,41;9,71;14,21;50,86;9,14;10,11;22,27;615,63;633,71;18,05;15,69;17760;1.637.829
Porto Real (RJ);Médio Paraíba        ;330411;3304110;0,42;99,11;97,86;98,87;100;28,01;74,01;15,5;91,82;0,713;0,688;0,817;0,645;80,73;1,77;5,84;8,02;48,07;8,97;8,07;23,68;577,07;577,58;6,44;3,04;16592;7.497.978
Quatis (RJ);Médio Paraíba        ;330412;3304128;0,42;97,46;97,91;100;99,89;24,65;73,38;16,4;91,37;0,69;0,676;0,806;0,603;79,79;1,67;7,6;8,39;47,12;8,16;8,12;29,81;535,96;537,29;10,71;0,7;12793;942.070
Queimados (RJ);Metropolitana           ;330414;3304144;0,43;97,97;92,38;93,32;99,83;41,9;73,58;16,67;91,61;0,68;0,659;0,81;0,589;80,3;2,29;6,16;6,9;43,73;8,78;4,57;25,68;484,4;485,92;12,92;6,2;137962;10.713.767
Quissamã (RJ);Norte Fluminense        ;330415;3304151;0,53;95,54;97,67;99,08;99,93;25,31;74,23;15,2;91,97;0,704;0,698;0,821;0,61;81,04;2,16;7,64;11,12;46,1;9,11;12,82;24,38;616,31;617,1;12,4;5,16;20242;6.046.048
Resende (RJ);Médio Paraíba        ;330420;3304201;0,52;98,28;98,44;99,76;99,89;22,59;75,31;13,85;92,77;0,768;0,762;0,839;0,709;82,71;1,71;7,31;5,13;57,39;9,62;16,7;17,06;915,21;915,76;5,28;1,59;119769;31.148.378
Rio Bonito (RJ);Baixadas Litorâneas ;330430;3304300;0,48;92,56;91,25;98,65;99,7;26,8;74,16;15,2;91,93;0,71;0,705;0,819;0,62;80,95;1,53;8,23;9,71;56,02;8,89;10,97;24,76;643,54;647,61;7,94;4,61;55551;
Rio Claro (RJ);Médio Paraíba        ;330440;3304409;0,5;82,14;93,07;98,27;99,45;23,37;73,07;16,9;91,14;0,683;0,7;0,801;0,567;79,32;1,92;8,69;12,41;46,75;8,99;7,34;24,39;623,62;625,04;10,76;5,94;17425;2.363.553
Rio das Flores (RJ);Médio Paraíba        ;330450;3304508;0,46;91,9;98,2;99,72;100;24,24;74,32;15;92,04;0,68;0,664;0,822;0,575;81,18;1,82;8,76;10,82;41,01;8,86;12,04;27,7;499,13;499,7;10,93;5,84;8561;1.831.217
Rio das Ostras (RJ);Baixadas Litorâneas ;330452;3304524;0,53;90,61;91,9;99,81;99,9;30,3;76,26;10,96;93;0,773;0,784;0,854;0,689;83,2;1,91;5,59;4,55;53,94;9,18;13,02;17,88;1051,19;1052,17;5,26;2,79;105676;
Rio de Janeiro (RJ);Metropolitana           ;330455;3304557;0,62;99,02;97,39;99,17;99,97;28,11;75,69;13,02;92,95;0,799;0,84;0,845;0,719;83,1;1,56;10,46;3,31;56,48;9,39;20,3;18,03;1492,63;1493,25;5,01;2,81;6320446;3.722.608.357
